ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,906.9855379057501,953.150094524013,1332.3820929695137,906.9855379057501,906.9855379057501,227.14924473363212,227.14924473363212,227.14924473363212,227.14924473363212,227.14924473363212,227.14924473363212,0.0,0.0,0.0,1134.1347826393821
2014-02-01,910.8860029369674,733.8811551051563,1128.3763859580315,910.8860029369674,910.8860029369674,19.80101397790354,19.80101397790354,19.80101397790354,19.80101397790354,19.80101397790354,19.80101397790354,0.0,0.0,0.0,930.6870169148709
2014-03-01,914.409003610325,672.5523972384448,1069.8462969657987,914.409003610325,914.409003610325,-42.85886885788893,-42.85886885788893,-42.85886885788893,-42.85886885788893,-42.85886885788893,-42.85886885788893,0.0,0.0,0.0,871.5501347524361
2014-04-01,918.3094686376376,560.7206725761023,942.4562776509928,918.3094686376376,918.3094686376376,-172.23022833291722,-172.23022833291722,-172.23022833291722,-172.23022833291722,-172.23022833291722,-172.23022833291722,0.0,0.0,0.0,746.0792403047203
2014-05-01,922.0841122084056,446.6470046901005,836.7031985417456,922.0841122084056,922.0841122084056,-275.2442505751182,-275.2442505751182,-275.2442505751182,-275.2442505751182,-275.2442505751182,-275.2442505751182,0.0,0.0,0.0,646.8398616332875
2014-06-01,925.9845772315326,376.12997255359187,787.9693744963154,925.9845772315326,925.9845772315326,-346.49433140625734,-346.49433140625734,-346.49433140625734,-346.49433140625734,-346.49433140625734,-346.49433140625734,0.0,0.0,0.0,579.4902458252752
2014-07-01,929.7592207976666,361.066746142794,770.5102039594109,929.7592207976666,929.7592207976666,-366.9740540617073,-366.9740540617073,-366.9740540617073,-366.9740540617073,-366.9740540617073,-366.9740540617073,0.0,0.0,0.0,562.7851667359593
2014-08-01,933.659685816005,435.26087919551384,811.7095408530292,933.659685816005,933.659685816005,-297.9753109360997,-297.9753109360997,-297.9753109360997,-297.9753109360997,-297.9753109360997,-297.9753109360997,0.0,0.0,0.0,635.6843748799054
2014-09-01,937.5601508340386,666.2501370915662,1080.878693280731,937.5601508340386,937.5601508340386,-66.44940057434437,-66.44940057434437,-66.44940057434437,-66.44940057434437,-66.44940057434437,-66.44940057434437,0.0,0.0,0.0,871.1107502596942
2014-10-01,941.3347944031394,1124.9919966495968,1516.1140702785415,941.3347944031394,941.3347944031394,383.9973892437551,383.9973892437551,383.9973892437551,383.9973892437551,383.9973892437551,383.9973892437551,0.0,0.0,0.0,1325.3321836468945
